Geography,Geographic Area Name,Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars),Annotation of Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars),Annotation of Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)
1400000US37031970806,"Census Tract 9708.06, Carteret County, North Carolina",66217,null,11188,null
1400000US37031970903,"Census Tract 9709.03, Carteret County, North Carolina",84911,null,21218,null
1400000US37031970904,"Census Tract 9709.04, Carteret County, North Carolina",89926,null,13059,null
1400000US37031971003,"Census Tract 9710.03, Carteret County, North Carolina",91786,null,9778,null
1400000US37031971103,"Census Tract 9711.03, Carteret County, North Carolina",63403,null,15300,null
1400000US37031980100,"Census Tract 9801, Carteret County, North Carolina",-,-,**,**
1400000US37031990100,"Census Tract 9901, Carteret County, North Carolina",-,-,**,**
1400000US37031990200,"Census Tract 9902, Carteret County, North Carolina",-,-,**,**
1400000US37033930100,"Census Tract 9301, Caswell County, North Carolina",48707,null,17214,null
1400000US37033930200,"Census Tract 9302, Caswell County, North Carolina",37311,null,11644,null
1400000US37033930300,"Census Tract 9303, Caswell County, North Carolina",38675,null,8510,null
1400000US37033930400,"Census Tract 9304, Caswell County, North Carolina",53469,null,5305,null
1400000US37033930500,"Census Tract 9305, Caswell County, North Carolina",52750,null,7326,null
1400000US37033930600,"Census Tract 9306, Caswell County, North Carolina",67969,null,14501,null
1400000US37035010101,"Census Tract 101.01, Catawba County, North Carolina",61548,null,13232,null
1400000US37035010102,"Census Tract 101.02, Catawba County, North Carolina",59816,null,15628,null
1400000US37035010201,"Census Tract 102.01, Catawba County, North Carolina",59521,null,5857,null
1400000US37035010203,"Census Tract 102.03, Catawba County, North Carolina",35833,null,16508,null
1400000US37035010204,"Census Tract 102.04, Catawba County, North Carolina",53942,null,13160,null
1400000US37035010301,"Census Tract 103.01, Catawba County, North Carolina",57569,null,11621,null
1400000US37035010302,"Census Tract 103.02, Catawba County, North Carolina",73769,null,11474,null
1400000US37035010303,"Census Tract 103.03, Catawba County, North Carolina",51976,null,13855,null
1400000US37035010304,"Census Tract 103.04, Catawba County, North Carolina",40755,null,15693,null
1400000US37035010402,"Census Tract 104.02, Catawba County, North Carolina",40000,null,4606,null
1400000US37035010403,"Census Tract 104.03, Catawba County, North Carolina",38130,null,3602,null
1400000US37035010404,"Census Tract 104.04, Catawba County, North Carolina",52173,null,11996,null
1400000US37035010501,"Census Tract 105.01, Catawba County, North Carolina",80833,null,8076,null
1400000US37035010502,"Census Tract 105.02, Catawba County, North Carolina",124924,null,9323,null
1400000US37035010600,"Census Tract 106, Catawba County, North Carolina",54298,null,9175,null
1400000US37035010700,"Census Tract 107, Catawba County, North Carolina",33417,null,5654,null
1400000US37035010900,"Census Tract 109, Catawba County, North Carolina",21438,null,4679,null
1400000US37035011000,"Census Tract 110, Catawba County, North Carolina",35592,null,7098,null
1400000US37035011101,"Census Tract 111.01, Catawba County, North Carolina",54720,null,15454,null
1400000US37035011102,"Census Tract 111.02, Catawba County, North Carolina",62813,null,19207,null
1400000US37035011200,"Census Tract 112, Catawba County, North Carolina",60228,null,4619,null
1400000US37035011300,"Census Tract 113, Catawba County, North Carolina",48071,null,5378,null
1400000US37035011401,"Census Tract 114.01, Catawba County, North Carolina",57250,null,24104,null
1400000US37035011402,"Census Tract 114.02, Catawba County, North Carolina",52029,null,9505,null
1400000US37035011501,"Census Tract 115.01, Catawba County, North Carolina",56191,null,8243,null
1400000US37035011503,"Census Tract 115.03, Catawba County, North Carolina",90205,null,6536,null
1400000US37035011505,"Census Tract 115.05, Catawba County, North Carolina",89608,null,33296,null
1400000US37035011506,"Census Tract 115.06, Catawba County, North Carolina",70132,null,22241,null
1400000US37035011601,"Census Tract 116.01, Catawba County, North Carolina",46121,null,24114,null
1400000US37035011602,"Census Tract 116.02, Catawba County, North Carolina",62740,null,11742,null
1400000US37035011701,"Census Tract 117.01, Catawba County, North Carolina",71250,null,13344,null
1400000US37035011702,"Census Tract 117.02, Catawba County, North Carolina",71795,null,9435,null
1400000US37035011801,"Census Tract 118.01, Catawba County, North Carolina",78685,null,25874,null
1400000US37035011802,"Census Tract 118.02, Catawba County, North Carolina",46389,null,9177,null
1400000US37037020103,"Census Tract 201.03, Chatham County, North Carolina",160938,null,20737,null
1400000US37037020104,"Census Tract 201.04, Chatham County, North Carolina",130167,null,26716,null
1400000US37037020105,"Census Tract 201.05, Chatham County, North Carolina",129655,null,20056,null
1400000US37037020107,"Census Tract 201.07, Chatham County, North Carolina",84034,null,30291,null
1400000US37037020108,"Census Tract 201.08, Chatham County, North Carolina",98750,null,18465,null
1400000US37037020201,"Census Tract 202.01, Chatham County, North Carolina",61943,null,10402,null
1400000US37037020202,"Census Tract 202.02, Chatham County, North Carolina",92465,null,36016,null
1400000US37037020203,"Census Tract 202.03, Chatham County, North Carolina",-,-,**,**
1400000US37037020300,"Census Tract 203, Chatham County, North Carolina",55452,null,18361,null
1400000US37037020401,"Census Tract 204.01, Chatham County, North Carolina",42205,null,4528,null
1400000US37037020402,"Census Tract 204.02, Chatham County, North Carolina",33875,null,17961,null
1400000US37037020500,"Census Tract 205, Chatham County, North Carolina",47829,null,18782,null
1400000US37037020600,"Census Tract 206, Chatham County, North Carolina",53194,null,5542,null
1400000US37037020702,"Census Tract 207.02, Chatham County, North Carolina",80902,null,13293,null
1400000US37037020703,"Census Tract 207.03, Chatham County, North Carolina",90096,null,13807,null
1400000US37037020704,"Census Tract 207.04, Chatham County, North Carolina",117564,null,16081,null
1400000US37037020801,"Census Tract 208.01, Chatham County, North Carolina",61088,null,17926,null
1400000US37037020802,"Census Tract 208.02, Chatham County, North Carolina",56450,null,27472,null
1400000US37037020803,"Census Tract 208.03, Chatham County, North Carolina",108819,null,37222,null
1400000US37039930101,"Census Tract 9301.01, Cherokee County, North Carolina",48649,null,13996,null
1400000US37039930102,"Census Tract 9301.02, Cherokee County, North Carolina",43141,null,4525,null
1400000US37039930200,"Census Tract 9302, Cherokee County, North Carolina",42865,null,8322,null
1400000US37039930300,"Census Tract 9303, Cherokee County, North Carolina",50670,null,15228,null
1400000US37039930401,"Census Tract 9304.01, Cherokee County, North Carolina",39281,null,9626,null
1400000US37039930402,"Census Tract 9304.02, Cherokee County, North Carolina",48382,null,18862,null
1400000US37039930501,"Census Tract 9305.01, Cherokee County, North Carolina",59330,null,17057,null
1400000US37039930502,"Census Tract 9305.02, Cherokee County, North Carolina",44003,null,18016,null
1400000US37039930603,"Census Tract 9306.03, Cherokee County, North Carolina",37614,null,13309,null
1400000US37039930604,"Census Tract 9306.04, Cherokee County, North Carolina",30481,null,13225,null
1400000US37039930605,"Census Tract 9306.05, Cherokee County, North Carolina",58824,null,21541,null
1400000US37039930606,"Census Tract 9306.06, Cherokee County, North Carolina",39823,null,3213,null
1400000US37041930101,"Census Tract 9301.01, Chowan County, North Carolina",42769,null,14570,null
1400000US37041930102,"Census Tract 9301.02, Chowan County, North Carolina",53750,null,15760,null
1400000US37041930201,"Census Tract 9302.01, Chowan County, North Carolina",57946,null,17331,null
1400000US37041930202,"Census Tract 9302.02, Chowan County, North Carolina",47105,null,17137,null
1400000US37043950101,"Census Tract 9501.01, Clay County, North Carolina",37283,null,19828,null
1400000US37043950102,"Census Tract 9501.02, Clay County, North Carolina",59516,null,23345,null
1400000US37043950201,"Census Tract 9502.01, Clay County, North Carolina",53207,null,14504,null
1400000US37043950202,"Census Tract 9502.02, Clay County, North Carolina",42588,null,12105,null
1400000US37045950101,"Census Tract 9501.01, Cleveland County, North Carolina",41250,null,5423,null
1400000US37045950102,"Census Tract 9501.02, Cleveland County, North Carolina",35540,null,9913,null
1400000US37045950200,"Census Tract 9502, Cleveland County, North Carolina",48750,null,10077,null
1400000US37045950301,"Census Tract 9503.01, Cleveland County, North Carolina",53156,null,6098,null
1400000US37045950302,"Census Tract 9503.02, Cleveland County, North Carolina",56550,null,7493,null
1400000US37045950400,"Census Tract 9504, Cleveland County, North Carolina",52440,null,15970,null
1400000US37045950500,"Census Tract 9505, Cleveland County, North Carolina",36845,null,10080,null
1400000US37045950601,"Census Tract 9506.01, Cleveland County, North Carolina",57820,null,15282,null
1400000US37045950603,"Census Tract 9506.03, Cleveland County, North Carolina",64792,null,20552,null
1400000US37045950604,"Census Tract 9506.04, Cleveland County, North Carolina",53438,null,11655,null
1400000US37045950701,"Census Tract 9507.01, Cleveland County, North Carolina",47102,null,10095,null
1400000US37045950702,"Census Tract 9507.02, Cleveland County, North Carolina",42379,null,18788,null
1400000US37045950800,"Census Tract 9508, Cleveland County, North Carolina",38699,null,7228,null
1400000US37045950900,"Census Tract 9509, Cleveland County, North Carolina",23265,null,9128,null
1400000US37045951000,"Census Tract 9510, Cleveland County, North Carolina",46750,null,14224,null
1400000US37045951100,"Census Tract 9511, Cleveland County, North Carolina",28912,null,1127,null
1400000US37045951200,"Census Tract 9512, Cleveland County, North Carolina",45412,null,4830,null
1400000US37045951300,"Census Tract 9513, Cleveland County, North Carolina",60050,null,8730,null
1400000US37045951400,"Census Tract 9514, Cleveland County, North Carolina",46594,null,11920,null
1400000US37045951501,"Census Tract 9515.01, Cleveland County, North Carolina",55677,null,19354,null
1400000US37045951502,"Census Tract 9515.02, Cleveland County, North Carolina",64265,null,20584,null
1400000US37045951503,"Census Tract 9515.03, Cleveland County, North Carolina",61146,null,12639,null
1400000US37045951601,"Census Tract 9516.01, Cleveland County, North Carolina",47406,null,6475,null
1400000US37045951602,"Census Tract 9516.02, Cleveland County, North Carolina",40154,null,7101,null
1400000US37047930100,"Census Tract 9301, Columbus County, North Carolina",47125,null,11692,null
1400000US37047930200,"Census Tract 9302, Columbus County, North Carolina",42440,null,13217,null
1400000US37047930300,"Census Tract 9303, Columbus County, North Carolina",56875,null,15964,null
1400000US37047930400,"Census Tract 9304, Columbus County, North Carolina",53592,null,4463,null
1400000US37047930500,"Census Tract 9305, Columbus County, North Carolina",39398,null,12721,null
1400000US37047930600,"Census Tract 9306, Columbus County, North Carolina",52813,null,25075,null
1400000US37047930700,"Census Tract 9307, Columbus County, North Carolina",31709,null,7744,null
1400000US37047930800,"Census Tract 9308, Columbus County, North Carolina",62500,null,14675,null
1400000US37047930900,"Census Tract 9309, Columbus County, North Carolina",26664,null,5564,null
1400000US37047931000,"Census Tract 9310, Columbus County, North Carolina",38567,null,8097,null
1400000US37047931100,"Census Tract 9311, Columbus County, North Carolina",31525,null,10694,null
1400000US37047931201,"Census Tract 9312.01, Columbus County, North Carolina",32974,null,10057,null
1400000US37047931202,"Census Tract 9312.02, Columbus County, North Carolina",25925,null,9685,null
1400000US37047931301,"Census Tract 9313.01, Columbus County, North Carolina",52778,null,16312,null
1400000US37047931302,"Census Tract 9313.02, Columbus County, North Carolina",39333,null,26448,null
1400000US37049960101,"Census Tract 9601.01, Craven County, North Carolina",69196,null,8845,null
1400000US37049960102,"Census Tract 9601.02, Craven County, North Carolina",55641,null,15848,null
1400000US37049960201,"Census Tract 9602.01, Craven County, North Carolina",31834,null,13326,null
1400000US37049960202,"Census Tract 9602.02, Craven County, North Carolina",37409,null,7692,null
1400000US37049960301,"Census Tract 9603.01, Craven County, North Carolina",75144,null,15275,null
1400000US37049960302,"Census Tract 9603.02, Craven County, North Carolina",35602,null,11197,null
1400000US37049960401,"Census Tract 9604.01, Craven County, North Carolina",56319,null,17987,null
1400000US37049960402,"Census Tract 9604.02, Craven County, North Carolina",54887,null,10041,null
1400000US37049960403,"Census Tract 9604.03, Craven County, North Carolina",104500,null,14738,null
1400000US37049960404,"Census Tract 9604.04, Craven County, North Carolina",71761,null,13562,null
1400000US37049960501,"Census Tract 9605.01, Craven County, North Carolina",53701,null,16066,null
1400000US37049960502,"Census Tract 9605.02, Craven County, North Carolina",32051,null,6033,null
1400000US37049960600,"Census Tract 9606, Craven County, North Carolina",39317,null,7415,null
1400000US37049960700,"Census Tract 9607, Craven County, North Carolina",38558,null,7245,null
